Geneid,Genesymbol,Genetype,LNCAP_Hypoxia_S1,LNCAP_Hypoxia_S2,LNCAP_Normoxia_S1,LNCAP_Normoxia_S2,PC3_Hypoxia_S1,PC3_Hypoxia_S2,PC3_Normoxia_S1,PC3_Normoxia_S2
ENSG00000165973,NELL1,protein_coding,0,0,0,0,2,0,0,5
ENSG00000165983,PTER,protein_coding,807,911,1673,1818,635,264,221,625
ENSG00000165985,C1QL3,protein_coding,1,0,0,1,9,2,0,3
ENSG00000165995,CACNB2,protein_coding,89,95,203,257,1,0,2,2
ENSG00000165996,HACD1,protein_coding,49,61,24,45,325,112,87,293
ENSG00000165997,ARL5B,protein_coding,2909,3264,2139,2158,1745,587,516,1471
ENSG00000166002,SMCO4,protein_coding,863,985,1659,2226,53,24,33,101
ENSG00000166004,CEP295,protein_coding,3419,4199,3439,3319,1356,443,578,1531
ENSG00000166006,KCNC2,protein_coding,7,3,1,2,0,0,0,0
ENSG00000166012,TAF1D,protein_coding,5478,6821,8682,9426,1328,435,436,1335
ENSG00000166016,ABTB2,protein_coding,554,618,316,438,349,116,116,292
ENSG00000166024,R3HCC1L,protein_coding,630,763,548,740,656,249,174,481
ENSG00000166025,AMOTL1,protein_coding,113,115,214,228,2190,783,698,1945
ENSG00000166033,HTRA1,protein_coding,266,348,150,362,995,284,332,970
ENSG00000166035,LIPC,protein_coding,1,1,0,0,1,0,0,1
ENSG00000166037,CEP57,protein_coding,1910,2066,2216,2169,1369,437,484,1255
ENSG00000166046,TCP11L2,protein_coding,410,498,196,156,407,132,42,123
ENSG00000166068,SPRED1,protein_coding,490,481,400,492,901,339,229,753
ENSG00000166069,TMCO5A,protein_coding,0,0,2,2,0,0,0,0
ENSG00000166073,GPR176,protein_coding,441,604,301,368,1122,342,388,975
ENSG00000166086,JAM3,protein_coding,81,120,136,164,104,39,52,180
ENSG00000166090,IL25,protein_coding,4,4,3,3,0,0,0,0
ENSG00000166105,GLB1L3,protein_coding,3,3,2,6,64,22,29,65
ENSG00000166106,ADAMTS15,protein_coding,12,20,50,71,128,51,94,196
ENSG00000166111,SVOP,protein_coding,1,4,4,4,0,0,0,0
ENSG00000166123,GPT2,protein_coding,7728,7928,4984,7113,405,127,89,234
ENSG00000166126,AMN,protein_coding,5,3,8,5,6,0,0,1
ENSG00000166128,RAB8B,protein_coding,2139,2672,1807,1885,1452,445,343,916
ENSG00000166130,IKBIP,protein_coding,337,367,379,343,1442,501,277,692
ENSG00000166133,RPUSD2,protein_coding,221,275,302,443,57,24,54,122
ENSG00000166135,HIF1AN,protein_coding,1452,1833,1580,2060,1144,388,455,1195
ENSG00000166136,NDUFB8,protein_coding,96,115,92,163,152,48,59,123
ENSG00000166140,ZFYVE19,protein_coding,804,872,655,992,555,210,220,688
ENSG00000166143,PPP1R14D,protein_coding,0,1,2,0,0,0,0,0
ENSG00000166145,SPINT1,protein_coding,2738,3226,2038,3544,726,328,126,376
ENSG00000166147,FBN1,protein_coding,249,248,79,79,54,18,27,63
ENSG00000166153,DEPDC4,protein_coding,144,126,176,152,23,11,7,28
ENSG00000166159,LRTM2,protein_coding,3,3,0,6,0,0,0,0
ENSG00000166164,BRD7,protein_coding,3172,3527,3522,3850,495,183,221,682
