"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000149573",931.666251560774,0.343526737673542,0.133393748093561,2.57528364397256,0.0100157912886581,0.0337237811972373
"ENSG00000134313",2488.91045460123,0.295103212470552,0.114600508748695,2.57506023047138,0.0100222632404157,0.0337374254855424
"ENSG00000180917",2025.35574003787,0.312880632264755,0.121508825197579,2.57496220341193,0.0100251041117794,0.0337388430196814
"ENSG00000174165",432.468418853363,-0.42076532605746,0.163416072717489,-2.574809925734,0.0100295186145845,0.0337455545470924
"ENSG00000162613",7470.82614340292,-0.311646982034663,0.121060571686228,-2.57430621459816,0.010044133448567,0.0337865748307285
"ENSG00000172819",237.564292880043,0.555442145448927,0.215802154969623,2.57384892902072,0.0100574176984636,0.0338231005715576
"ENSG00000036530",106.685101123786,0.735553955033733,0.28587006620495,2.57303594181277,0.0100810738027984,0.033878142210754
"ENSG00000151224",39.6748472689694,-1.20877263966828,0.469773867223282,-2.57309468236928,0.0100793629251254,0.033878142210754
"ENSG00000156384",136.25763514697,-0.677043845810914,0.2631278590232,-2.57306029214952,0.010080364543418,0.033878142210754
"ENSG00000223802",155.813085564851,0.689055542428108,0.267821822636781,2.57281328177131,0.010087561348289,0.0338917753925768
"ENSG00000118096",519.203045524496,-0.408654895654312,0.158873923394097,-2.57219615984819,0.0101055615880512,0.0339440725661764
"ENSG00000119682",1218.38395927788,0.317013640804824,0.1232563417746,2.57198644905874,0.0101116849495294,0.0339564603206378
"ENSG00000039650",609.321016070272,0.376526918432919,0.14640527234149,2.57181256119432,0.0101167648199641,0.0339653387634866
"ENSG00000110075",4533.95829332222,0.296948042241278,0.115468760627474,2.57167428339595,0.0101208060181559,0.0339656710122094
"ENSG00000125637",889.332596625363,0.34574168399226,0.134448271939834,2.57155915062248,0.010124171894624,0.0339656710122094
"ENSG00000189056",172.872579817725,0.661214324202026,0.257123390045382,2.57158372128386,0.0101234534941291,0.0339656710122094
"ENSG00000147789",701.524398617359,0.362786668084428,0.141087166130452,2.57136547592846,0.0101298361721788,0.0339764988570336
"ENSG00000167118",1109.97965667171,-0.407768233390652,0.158594572570902,-2.57113611632803,0.0101365477523003,0.0339908334079662
"ENSG00000112367",533.036230211661,-0.39288586014179,0.152838419675598,-2.57059619548342,0.0101523626891621,0.0340356799651329
"ENSG00000143850",1125.96364536657,-0.330367020540047,0.128522648454211,-2.57049651959007,0.0101552847181019,0.034037292025119
"ENSG00000108828",1723.02770799181,0.400522377812197,0.155829957404416,2.57025275809289,0.010162433815037,0.0340530676960012
"ENSG00000175792",3755.631055029,-0.27694785386825,0.107778169320666,-2.56960992763075,0.0101813083982382,0.0341081170102438
"ENSG00000139726",2961.39339298711,-0.280553351848993,0.109192750806731,-2.56934045324645,0.0101892298985724,0.0341264550746566
"ENSG00000167528",615.153890295891,0.393152511870007,0.153093053488479,2.56806238370309,0.0102268749529947,0.0342443125527389
"ENSG00000066027",648.356632769055,-0.38022837875974,0.148104354412719,-2.56730047045184,0.0102493756780385,0.0343114153850878
"ENSG00000140743",375.519034225947,-0.443118436912588,0.172606670312626,-2.56721502193403,0.010251901878917,0.0343116341569225
"ENSG00000119723",471.642773800791,-0.43878462011267,0.17093339007952,-2.56699185518139,0.0102585021973054,0.0343172495530299
"ENSG00000143164",6017.20764236404,0.305819926080409,0.119132321587061,2.56706091181911,0.0102564593931986,0.0343172495530299
"ENSG00000172922",742.947213444382,0.369758263876982,0.144122799153264,2.56557786866026,0.0103004098490892,0.0344491759476735
"ENSG00000128708",2132.97604168331,-0.322004734737403,0.125529766364471,-2.56516636701508,0.0103126345021242,0.0344817896554239
"ENSG00000130939",1806.81646890894,-0.297974542936563,0.116192828259424,-2.56448308729756,0.010332961503791,0.0345414726078538
"ENSG00000166822",579.022773354252,0.382836810201829,0.149295770088152,2.56428437306551,0.0103388797755375,0.0345529723658482
"ENSG00000157216",1430.25409490711,0.309557338420207,0.120729145548858,2.56406468390794,0.0103454262508161,0.0345665655919312
"ENSG00000144455",631.403749277262,-0.4063706053888,0.15849547291502,-2.56392563090229,0.0103495717709454,0.0345721320561311
"ENSG00000185361",119.500185208913,0.691738865264115,0.269840753661083,2.56350775736763,0.0103620385306928,0.0346054858044191
"ENSG00000140044",584.847832089086,-0.457636672611978,0.178577113346516,-2.56268378425384,0.0103866599493247,0.0346794060520677
"ENSG00000185033",347.406067271417,0.512203822347328,0.199941788938787,2.56176472695331,0.0104141840152516,0.0347629800633596
"ENSG00000167394",179.796432765411,0.589883431805894,0.230350105819604,2.56081250628057,0.01044276969761,0.0348500569396306
"ENSG00000165271",1205.09343759542,-0.331757810380194,0.129575280328427,-2.56034800418186,0.010456739376007,0.0348804602369581
"ENSG00000166313",93.9578146136348,-0.957593079008758,0.374009652659601,-2.56034322162347,0.0104568832955953,0.0348804602369581
"ENSG00000134058",670.163803760966,-0.37467723699836,0.146360886007406,-2.55995469294577,0.0104685810199594,0.034911127759219
"ENSG00000149639",3753.19956044309,-0.272786380025062,0.106573770407557,-2.55960147587796,0.0104792256926104,0.034938269687247
"ENSG00000080200",815.234891464521,0.416083149434599,0.162572911240447,2.55936334202202,0.0104864076107309,0.0349538563988574
"ENSG00000172954",612.607715662569,-0.409227451517048,0.159923561506305,-2.55889405952803,0.0105005735970905,0.0349927097667861
"ENSG00000147416",1866.70818689848,-0.322850403074642,0.126185595367978,-2.55853611605317,0.0105113900923654,0.0350203851990086
"ENSG00000169762",753.254708209387,0.420997328257801,0.164554663890353,2.55840410903407,0.0105153816402199,0.0350253144313391
"ENSG00000175606",419.90808157953,-0.456176665214033,0.178323151869174,-2.55814604235295,0.0105231887980762,0.0350429475547112
"ENSG00000185551",1670.66990657461,-0.306500204498236,0.119836296467918,-2.55765751723051,0.0105379820162288,0.0350838307670195
"ENSG00000143079",916.522780897222,0.338532868980698,0.132380976466115,2.5572622140867,0.0105499658807824,0.0351153435845665
"ENSG00000163931",6434.36036052594,-0.30962999184761,0.121110466163781,-2.55659152883525,0.0105703258604133,0.035174714432397
